iter	Passed	Remaining
832	10231	2051
833	10236	2037
834	10251	2025
835	10254	2011
836	10260	1998
837	10263	1984
838	10264	1969
839	10267	1955
840	10271	1941
841	10274	1928
842	10278	1914
843	10282	1900
844	10286	1886
845	10313	1877
846	10350	1869
847	10383	1861
848	10391	1848
849	10393	1834
850	10401	1821
851	10403	1807
852	10419	1795
853	10430	1783
854	10440	1770
855	10451	1758
856	10497	1751
857	10547	1745
858	10551	1731
859	10553	1718
860	10561	1705
861	10574	1692
862	10579	1679
863	10602	1668
864	10719	1673
865	10751	1663
866	10785	1654
867	10806	1643
868	10834	1633
869	10840	1619
870	10848	1606
871	10859	1594
872	10863	1580
873	10866	1566
874	10869	1552
875	10873	1539
876	10907	1529
877	10910	1516
878	10913	1502
879	10930	1490
880	10942	1478
881	10963	1466
882	10971	1453
883	11095	1455
884	11101	1442
885	11106	1429
886	11110	1415
887	11112	1401
888	11127	1389
889	11133	1376
890	11137	1362
891	11206	1356
892	11215	1343
893	11221	1330
894	11225	1316
895	11232	1303
896	11237	1290
897	11244	1277
898	11310	1270
899	11313	1257
900	11320	1243
901	11329	1230
902	11332	1217
903	11344	1204
904	11353	1191
905	11386	1181
906	11391	1167
907	11394	1154
908	11403	1141
909	11418	1129
910	11420	1115
911	11430	1102
912	11476	1093
913	11483	1080
914	11485	1066
915	11490	1053
916	11494	1040
917	11509	1028
918	11516	1015
919	11521	1001
920	11567	992
921	11574	979
922	11578	965
923	11582	952
924	11588	939
925	11597	926
926	11604	913
927	11672	905
928	11675	892
929	11678	879
930	11680	865
931	11697	853
932	11701	840
933	11705	827
934	11709	814
935	11712	800
936	11719	787
937	11723	774
938	11726	761
939	11729	748
940	11735	735
941	11742	722
942	11748	710
943	11752	697
944	11754	684
945	11760	671
946	11768	658
947	11771	645
948	11775	632
949	11778	619
950	11780	607
951	11784	594
952	11789	581
953	11793	568
954	11804	556
955	11807	543
956	11811	530
957	11817	518
958	11820	505
959	11823	492
960	11833	480
961	11836	467
962	11839	454
963	11844	442
964	11864	430
965	11886	418
966	11893	405
967	11927	394
968	11930	381
969	11935	369
970	11938	356
971	11940	343
972	11961	331
973	11973	319
974	11977	307
975	11979	294
976	11980	282
977	11988	269
978	11994	257
979	12004	244
980	12010	232
981	12013	220
982	12029	208
983	12035	195
984	12037	183
985	12042	170
986	12045	158
987	12050	146
988	12051	134
989	12065	121
990	12068	109
991	12071	97
992	12076	85
993	12079	72
994	12081	60
995	12083	48
996	12085	36
997	12097	24
998	12102	12
999	12114	0
